Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.234,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.5,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.781,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.047,TraderOne,Tick,0,10,-10,10,147600,147100,-147,147,-1853,OK
1.25,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
1.469,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
1.734,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
2.047,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
2.297,TraderOne,Tick,1,10,-9,9,147000,146900,-118,218,-682,OK
2.547,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
2.75,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
3.0,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
3.281,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
3.5,TraderOne,Tick,11,20,-9,9,147500,146900,-412,-2488,-4288,OK
3.781,TraderOne,Tick,21,20,1,-1,146300,146900,-559,-3341,-3541,OK
4.016,TraderOne,Tick,21,20,1,-1,146300,146900,-559,-3341,-3541,OK
4.25,TraderOne,Tick,21,20,1,-1,146300,146900,-559,-3341,-3541,OK
4.469,TraderOne,Tick,21,20,1,-1,146300,146900,-559,-3341,-3541,OK
4.797,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-3194,-5394,OK
4.969,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-3194,-5394,OK
5.281,TraderOne,Tick,31,20,11,-11,146300,146800,-706,-3194,-5394,OK
5.484,TraderOne,Tick,31,20,11,-11,146300,146800,-706,-3194,-5394,OK
5.797,TraderOne,Tick,31,20,11,-11,146300,146800,-706,-3194,-5394,OK
6.0,TraderOne,Tick,31,30,1,-1,147000,146800,-412,-3488,-3288,OK
6.25,TraderOne,Tick,31,40,-9,9,147000,146800,-118,-2782,-4582,OK
6.469,TraderOne,Tick,31,50,-19,19,147000,146800,176,-76,-3876,OK
6.797,TraderOne,Tick,31,60,-29,29,147200,146700,470,2630,-3170,OK
7.031,TraderOne,Tick,31,60,-29,29,147200,146900,470,2630,-3170,OK
7.234,TraderOne,Tick,31,60,-29,29,147200,146900,470,2630,-3170,OK
7.469,TraderOne,Tick,31,60,-29,29,147200,146900,470,2630,-3170,OK
7.75,TraderOne,Tick,31,60,-29,29,147200,146900,470,2630,-3170,OK
8.031,TraderOne,Tick,31,60,-29,29,147200,146900,470,2630,-3170,OK
8.266,TraderOne,Tick,41,60,-19,19,147000,146900,323,-223,-2123,OK
8.5,TraderOne,Tick,41,60,-19,19,147000,146900,323,-223,-2123,OK
8.781,TraderOne,Tick,41,60,-19,19,147000,146900,323,-223,-2123,OK
8.969,TraderOne,Tick,51,60,-9,9,146700,146900,176,-2076,-276,OK
9.219,TraderOne,Tick,61,60,1,-1,146400,146900,469,631,431,OK
9.453,TraderOne,Tick,71,60,11,-11,146400,146900,762,2338,138,OK
9.703,TraderOne,Tick,81,60,21,-21,146400,146900,1055,4045,-155,OK
10.0,TraderOne,Tick,81,60,21,-21,146400,146900,1055,4045,-155,OK
10.281,TraderOne,Tick,91,60,31,-31,146400,146900,1348,5752,-448,OK
10.547,TraderOne,Tick,101,60,41,-41,146400,146900,1641,9459,1259,OK
10.75,TraderOne,Tick,111,60,51,-51,146400,147000,1934,14166,3966,OK
10.953,TraderOne,Tick,111,70,41,-41,147300,147000,1787,9313,17513,OK
11.281,TraderOne,Tick,111,70,41,-41,147300,147000,1787,9313,17513,OK
11.547,TraderOne,Tick,111,70,41,-41,147300,147000,1787,9313,17513,OK
11.766,TraderOne,Tick,111,80,31,-41,147400,147200,1640,1477460,11660,OK
12.063,TraderOne,Tick,111,80,31,-31,147400,147200,1640,6460,12660,OK
12.297,TraderOne,Tick,111,80,31,-31,147400,147200,1640,6460,12660,OK
12.484,TraderOne,Tick,111,80,31,-31,147400,147200,1640,6460,12660,OK
12.813,TraderOne,Tick,111,80,31,-31,147400,147200,1640,6460,12660,OK
13.016,TraderOne,Tick,111,80,31,-31,147400,147200,1640,6460,12660,OK
13.219,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
13.484,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
13.797,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
14.047,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
14.266,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
14.5,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
14.75,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
14.969,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
15.25,TraderOne,Tick,111,80,31,-31,146600,147200,1640,6460,260,OK
15.453,TraderOne,Tick,111,90,21,-21,146900,147200,1493,3607,-593,OK
15.797,TraderOne,Tick,111,90,21,-21,146900,146800,1493,3607,5707,OK
16.0,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
16.297,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
16.5,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
16.781,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
17.063,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
17.234,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
17.547,TraderOne,Tick,111,100,11,-11,146900,146900,1346,754,754,OK
17.828,TraderOne,Tick,121,100,21,-21,146900,146900,1640,1460,1460,OK
17.984,TraderOne,Tick,121,100,21,-21,146900,146900,1640,1460,1460,OK
18.297,TraderOne,Tick,131,100,31,-31,146600,146900,1493,4607,-1593,OK
18.469,TraderOne,Tick,131,100,31,-31,146600,147100,1493,4607,-1593,OK
18.734,TraderOne,Tick,131,100,31,-31,146600,147100,1493,4607,-1593,OK
19.047,TraderOne,Tick,131,100,31,-31,146600,147100,1493,4607,-1593,OK
19.234,TraderOne,Tick,131,100,31,-31,146600,147100,1493,4607,-1593,OK
19.516,TraderOne,Tick,131,100,31,-31,146600,147200,1493,4607,-1593,OK
19.781,TraderOne,Tick,131,100,31,-31,146600,147200,1493,4607,-1593,OK
20.0,TraderOne,Tick,131,100,31,-31,146600,147200,1493,4607,-1593,OK
20.281,TraderOne,Tick,141,100,41,-41,146900,147200,1787,7313,-887,OK
20.531,TraderOne,Tick,151,100,51,-51,146900,147900,2081,12019,1819,OK
20.766,TraderOne,Tick,161,110,51,-61,147500,147900,2228,1493872,4672,OK
21.047,TraderOne,Tick,161,116,45,-45,147600,147900,2405,12895,3895,OK
21.219,TraderOne,Tick,161,116,45,-45,147600,147900,2405,12895,3895,OK
21.5,TraderOne,Tick,161,116,45,-45,147600,147900,2405,12895,3895,OK
21.766,TraderOne,Tick,161,116,45,-45,147600,147900,2405,12895,3895,OK
22.0,TraderOne,Tick,161,116,45,-45,147600,148000,2405,12895,3895,OK
22.25,TraderOne,Tick,161,116,45,-45,147600,148000,2405,12895,3895,OK
22.563,TraderOne,Tick,161,116,45,-45,147600,148100,2405,12895,3895,OK
22.781,TraderOne,Tick,161,116,45,-45,147600,148100,2405,12895,3895,OK
22.953,TraderOne,Tick,161,116,45,-45,147600,148000,2405,12895,3895,OK
23.25,TraderOne,Tick,161,116,45,-45,147600,148000,2405,12895,3895,OK
23.5,TraderOne,Tick,161,126,35,-35,147400,147700,2700,9600,2600,OK
23.703,TraderOne,Tick,161,126,35,-35,147400,147700,2700,9600,2600,OK
23.984,TraderOne,Tick,161,126,35,-35,147400,147700,2700,9600,2600,OK
24.203,TraderOne,Tick,171,126,45,-45,147400,147700,2995,12305,3305,OK
24.453,TraderOne,Tick,171,126,45,-45,147400,147700,2995,12305,3305,OK
24.703,TraderOne,Tick,181,126,55,-55,147400,147700,3290,16010,5010,OK
25.047,TraderOne,Tick,181,126,55,-55,147400,148100,3290,16010,5010,OK
25.188,TraderOne,Tick,191,126,65,-65,147700,148200,3585,20715,7715,OK
25.547,TraderOne,Tick,191,136,55,-55,147700,147900,3880,14420,3420,OK
25.719,TraderOne,Tick,191,143,48,-48,147600,147900,3777,11023,1423,OK
26.031,TraderOne,Tick,191,143,48,-48,147600,147900,3777,11023,1423,OK
26.203,TraderOne,Tick,191,143,48,-48,147600,147900,3777,11023,1423,OK
26.469,TraderOne,Tick,191,143,48,-48,147400,147900,3777,11023,1423,OK
26.703,TraderOne,Tick,191,143,48,-48,147400,147900,3777,11023,1423,OK
27.016,TraderOne,Tick,191,143,48,-48,147400,147900,3777,11023,1423,OK
27.219,TraderOne,Tick,201,143,58,-58,147400,147900,3629,15171,3571,OK
27.5,TraderOne,Tick,201,143,58,-58,147400,147900,3629,15171,3571,OK
27.797,TraderOne,Tick,201,143,58,-58,147400,147800,3629,15171,3571,OK
27.969,TraderOne,Tick,211,153,58,-58,147200,147800,3334,16466,4866,OK
28.234,TraderOne,Tick,211,153,58,-58,147200,147800,3334,16466,4866,OK
28.5,TraderOne,Tick,211,163,48,-48,147700,147800,3187,11613,6813,OK
28.734,TraderOne,Tick,211,163,48,-48,147700,147600,3187,11613,16413,OK
28.969,TraderOne,Tick,211,163,48,-48,147700,147600,3187,11613,16413,OK
29.219,TraderOne,Tick,211,163,48,-48,147700,147600,3187,11613,16413,OK
29.5,TraderOne,Tick,211,163,48,-48,147700,147600,3187,11613,16413,OK
29.781,TraderOne,Tick,211,163,48,-48,147700,147600,3187,11613,16413,OK
30.063,TraderOne,Tick,211,173,38,-38,147700,147600,3040,7760,11560,OK
30.219,TraderOne,Tick,211,173,38,-38,147700,147600,3040,7760,11560,OK
30.516,TraderOne,Tick,211,173,38,-38,147700,147600,3040,7760,11560,OK
30.797,TraderOne,Tick,211,173,38,-38,147700,147400,3040,7760,15360,OK
31.016,TraderOne,Tick,221,173,48,-48,147000,147400,3334,10466,866,OK
31.203,TraderOne,Tick,231,173,58,-58,147000,147400,3628,14172,2572,OK
31.469,TraderOne,Tick,241,173,68,-68,147000,147400,3922,18878,5278,OK
31.766,TraderOne,Tick,241,173,68,-68,147000,147400,3922,18878,5278,OK
31.984,TraderOne,Tick,241,173,68,-68,147000,147400,3922,18878,5278,OK
32.25,TraderOne,Tick,241,173,68,-68,147000,147400,3922,18878,5278,OK
32.484,TraderOne,Tick,241,183,58,-58,147100,147400,4216,12584,984,OK
32.797,TraderOne,Tick,241,183,58,-58,147100,147600,4216,12584,984,OK
32.969,TraderOne,Tick,241,193,48,-48,147000,147600,4510,7290,-2310,OK
33.234,TraderOne,Tick,241,193,48,-48,147000,147600,4510,7290,-2310,OK
33.5,TraderOne,Tick,241,193,48,-48,147000,147600,4510,7290,-2310,OK
33.781,TraderOne,Tick,241,203,38,-38,146900,147600,4804,2996,-4604,OK
34.0,TraderOne,Tick,241,203,38,-38,146900,147600,4804,2996,-4604,OK
34.25,TraderOne,Tick,241,203,38,-38,146900,147200,4804,2996,-4604,OK
34.453,TraderOne,Tick,241,203,38,-38,146900,147200,4804,2996,-4604,OK
34.688,TraderOne,Tick,241,203,38,-38,146900,147200,4804,2996,-4604,OK
35.047,TraderOne,Tick,241,203,38,-38,146900,147200,4804,2996,-4604,OK
35.281,TraderOne,Tick,241,203,38,-38,146900,147300,4804,2996,-4604,OK
35.563,TraderOne,Tick,241,213,28,-28,147100,147000,4657,-1857,943,OK
35.781,TraderOne,Tick,241,223,18,-18,147200,147000,4951,-4151,-551,OK
35.984,TraderOne,Tick,241,223,18,-18,147200,147000,4951,-4151,-551,OK
36.219,TraderOne,Tick,241,223,18,-18,147200,147000,4951,-4151,-551,OK
36.484,TraderOne,Tick,241,230,11,-11,147200,147000,5157,-5057,-2857,OK
36.797,TraderOne,Tick,241,230,11,-11,147200,147000,5157,-5057,-2857,OK
36.953,TraderOne,Tick,241,230,11,-11,147200,147000,5157,-5057,-2857,OK
37.297,TraderOne,Tick,241,230,11,-11,147200,147000,5157,-5057,-2857,OK
37.453,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
37.75,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
38.047,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
38.219,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
38.453,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
38.797,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
38.953,TraderOne,Tick,241,230,11,-11,147200,147300,5157,-5057,-6157,OK
39.25,TraderOne,Tick,251,230,21,-21,147000,147300,5010,-3910,-8110,OK
39.547,TraderOne,Tick,251,240,11,-11,147700,147300,4863,-5763,-3563,OK
39.703,TraderOne,Tick,251,240,11,-11,147700,147300,4863,-5763,-3563,OK
40.031,TraderOne,Tick,251,240,11,-11,147700,147300,4863,-5763,-3563,OK
40.266,TraderOne,Tick,251,240,11,-11,147700,147300,4863,-5763,-3563,OK
40.531,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
40.766,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
41.016,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
41.203,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
41.5,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
41.734,TraderOne,Tick,251,250,1,-1,147700,147300,4716,-5616,-5416,OK
42.031,TraderOne,Tick,251,250,1,-1,147700,147200,4716,-5616,-5416,OK
42.297,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
42.563,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
42.766,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
43.047,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
43.266,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
43.484,TraderOne,Tick,251,258,-7,7,147400,147200,4598,-5498,-6898,OK
43.75,TraderOne,Tick,251,258,-7,7,147400,147400,4598,-5498,-5498,OK
44.0,TraderOne,Tick,251,258,-7,7,147400,147400,4598,-5498,-5498,OK
44.203,TraderOne,Tick,251,258,-7,7,147400,147400,4598,-5498,-5498,OK
44.547,TraderOne,Tick,251,258,-7,7,147400,147400,4598,-5498,-5498,OK
44.734,TraderOne,Tick,251,258,-7,7,147400,147400,4598,-5498,-5498,OK
44.969,TraderOne,Tick,251,258,-7,7,147700,147400,4598,-5498,-6898,OK
45.297,TraderOne,Tick,251,258,-7,7,147700,147500,4598,-5498,-6898,OK
45.516,TraderOne,Tick,251,258,-7,7,147700,147500,4598,-5498,-6898,OK
45.734,TraderOne,Tick,251,268,-17,17,147400,147500,4893,-5793,-4093,OK
46.016,TraderOne,Tick,251,268,-17,17,147400,147500,4893,-5793,-4093,OK
46.266,TraderOne,Tick,251,268,-17,17,147400,147500,4893,-5793,-4093,OK
46.469,TraderOne,Tick,251,268,-17,17,147400,147500,4893,-5793,-4093,OK
46.797,TraderOne,Tick,251,268,-17,17,147400,147500,4893,-5793,-4093,OK
47.031,TraderOne,Tick,251,276,-25,25,147400,147500,5129,-4429,-1929,OK
47.266,TraderOne,Tick,251,276,-25,25,147400,147500,5129,-4429,-1929,OK
47.469,TraderOne,Tick,251,276,-25,25,147400,147500,5129,-4429,-1929,OK
47.797,TraderOne,Tick,251,286,-35,35,147700,147500,4981,-2281,-9281,OK
48.016,TraderOne,Tick,251,286,-35,35,147700,147500,4981,-2281,-9281,OK
48.25,TraderOne,Tick,251,286,-35,35,147700,147500,4981,-2281,-9281,OK
48.547,TraderOne,Tick,261,286,-25,25,147100,147500,4833,-7133,-2133,OK
48.813,TraderOne,Tick,261,286,-25,25,147100,147500,4833,-7133,-2133,OK
49.0,TraderOne,Tick,261,286,-25,25,147100,147500,4833,-7133,-2133,OK
49.219,TraderOne,Tick,261,286,-25,25,147100,147500,4833,-7133,-2133,OK
49.453,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
49.75,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
50.0,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
50.25,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
50.5,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
50.781,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
51.031,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
51.281,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
51.453,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
51.734,TraderOne,Tick,271,286,-15,15,147700,147500,5128,-10428,-13428,OK
51.984,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
52.203,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
52.453,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
52.781,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
53.047,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
53.25,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
53.547,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
53.75,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
54.031,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
54.234,TraderOne,Tick,271,286,-15,15,147700,147300,5128,-10428,-13428,OK
54.516,TraderOne,Tick,271,286,-15,15,147700,147200,5128,-10428,-13428,OK
54.781,TraderOne,Tick,271,286,-15,15,147700,147200,5128,-10428,-13428,OK
55.031,TraderOne,Tick,271,286,-15,15,147700,147200,5128,-10428,-13428,OK
55.266,TraderOne,Tick,271,286,-15,15,147300,147300,5128,-10428,-10428,OK
55.578,TraderOne,Tick,281,286,-5,15,147300,146900,4981,-1484281,-16281,OK
