Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.516,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.735,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.016,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.297,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.547,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.703,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.0,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.297,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.532,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
2.75,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.016,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.25,TraderOne,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.563,TraderOne,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.797,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
3.969,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.297,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.469,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.797,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.985,TraderOne,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.25,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.469,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.797,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.016,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.282,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.516,TraderOne,Tick,0,0,0,0,146300,146800,0,0,0,OK
6.703,TraderOne,Tick,0,0,0,0,147200,146700,0,0,0,OK
